Participant Number,Age,Gender,Ethnicity (simplified),Country of birth,Country of residence,Nationality,First Language
1,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English
2,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English
3,72,Female,White,United Kingdom,United Kingdom,United Kingdom,English
4,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English
5,36,Male,Black,Nigeria,United Kingdom,Nigeria,English
6,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English
7,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English
8,35,Female,Mixed,Germany,United Kingdom,Germany,English
9,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English
10,32,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English
11,32,Female,Asian,India,United Kingdom,India,Hindi
12,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English
13,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English
14,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English
15,64,Female,White,United Kingdom,United Kingdom,United Kingdom,English
16,65,Male,White,United Kingdom,United Kingdom,United Kingdom,English
17,71,Male,White,United Kingdom,United Kingdom,United Kingdom,English
18,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English
19,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English
20,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English
21,52,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English
22,60,Female,White,United States,United States,United States,English
23,48,Female,Black,Nigeria,United Kingdom,Nigeria,English
24,44,Female,White,Netherlands,United Kingdom,Netherlands,English
25,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English
26,26,Male,Black,Nigeria,United Kingdom,Nigeria,English
27,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English
28,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English
29,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English
30,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English
31,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English
32,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English
33,63,Male,Black,Nigeria,United States,Nigeria,English
34,50,Male,White,Poland,United Kingdom,Poland,Polish
35,59,Female,White,United Kingdom,United Kingdom,United Kingdom,English
36,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English
37,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English
38,77,Male,White,United Kingdom,United Kingdom,United Kingdom,English
39,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English
40,55,Female,NaN,United Kingdom,United Kingdom,United Kingdom,English
41,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English
42,51,Male,NaN,India,United Kingdom,United Kingdom,English
43,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English
44,64,Female,White,United Kingdom,United Kingdom,United Kingdom,English
45,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English
46,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English
47,62,Female,White,Malawi,United Kingdom,United Kingdom,English
48,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English
49,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English
50,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English
51,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English
52,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English
53,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English
54,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English
55,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English
56,79,Male,White,United Kingdom,United Kingdom,United Kingdom,English
57,29,Female,Black,Nigeria,United Kingdom,Nigeria,English
58,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English
59,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English
60,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English
61,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English
62,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English
63,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English
64,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English
65,63,Male,White,United Kingdom,United Kingdom,NaN,English
66,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English
67,44,Female,White,South Africa,United Kingdom,South Africa,English
68,53,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English
69,37,Male,Asian,United Kingdom,United Kingdom,United Kingdom,Chinese
70,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English
71,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English
72,59,Female,White,United Kingdom,United Kingdom,United Kingdom,English
73,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English
74,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English
75,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English
76,35,Male,Black,Nigeria,United Kingdom,Nigeria,English
77,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English
78,68,Female,White,United Kingdom,United Kingdom,United Kingdom,English
79,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English
80,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English
81,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English
82,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English
83,82,Male,White,United Kingdom,United Kingdom,United Kingdom,English
84,35,Male,Black,Nigeria,United Kingdom,United Kingdom,English
85,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English
86,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English
87,43,Female,White,Germany,United Kingdom,Germany,German
88,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English
89,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English
90,61,Male,Black,Nigeria,United States,Nigeria,English
91,64,Female,White,United Kingdom,United Kingdom,United Kingdom,English
92,32,Male,White,Poland,United Kingdom,Poland,Polish
93,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English
94,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English
95,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English
96,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English
97,70,Male,Other,Ireland,United Kingdom,United Kingdom,English
98,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English
99,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English
100,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English
101,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English
102,29,Male,Black,Nigeria,United Kingdom,Nigeria,English
103,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English
104,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English
105,25,Female,Asian,Philippines,United Kingdom,United Kingdom,Tagalog-Filipino
106,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English
107,72,Female,White,United Kingdom,United Kingdom,United Kingdom,English
108,40,Female,White,United States,United States,United States,English
109,73,Male,White,United Kingdom,United Kingdom,United Kingdom,English
110,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English
111,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English
112,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English
113,59,Male,White,United Kingdom,United Kingdom,United Kingdom,English
114,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English
115,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English
116,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English
117,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English
118,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English
119,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English
120,37,Female,Mixed,United States,United States,United States,English
121,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English
122,30,Male,Asian,Taiwan,United States,United States,Mandarin
123,37,Male,Black,Nigeria,United Kingdom,Nigeria,English
124,25,Female,White,France,United Kingdom,France,French
125,74,Male,White,United Kingdom,United Kingdom,United Kingdom,English
126,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English
127,29,Female,White,United States,United States,United States,English
128,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English
129,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English
130,35,Male,Black,Nigeria,United States,Nigeria,English
131,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English
132,56,Female,White,Ireland,United Kingdom,Ireland,English
133,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English
134,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English
135,65,Male,White,United Kingdom,United Kingdom,United Kingdom,English
136,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English
137,65,Female,White,Cyprus,United Kingdom,United Kingdom,English
138,31,Male,Black,Nigeria,United Kingdom,United Kingdom,English
139,59,Male,White,United Kingdom,United Kingdom,United Kingdom,English
140,25,Female,Black,Nigeria,United Kingdom,Nigeria,English
141,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English
